Game,Month,Hours Watched,Hours Gained,% Hour Gained,Average Viewers, Viewers Gained,% Viewers Gained,Peak Concurrent Viewers ,Average Concurrent Streams,Concurrent Streams Gain,% Concurrent Streans Gain,Peak Concurrent Streams
League of Legends ,06/01/20,143M,+15.7M,12.40%,199K,"27,389",16%,561K,4.2K,-566,-12%,7.5K
League of Legends ,05/01/20,127M,-8.03M,-5.90%,172K,"-17,221",-9.10%,507K,4.7K,-78,-1.60%,8.3K
League of Legends ,04/01/20,135M,+11.8M,9.60%,189K,"22,589",13.60%,736K,4.8K,686,16.70%,8.8K
League of Legends ,03/01/20,123M,+2.03M,1.70%,166K,"-8,626",-4.90%,430K,4.1K,455,12.40%,8.4K
League of Legends ,02/01/20,121M,+21.7M,21.70%,175K,"40,802",30.40%,402K,3.7K,-306,-7.70%,7.3K
League of Legends ,01/01/20,99.7M,+21.2M,27%,134K,"28,209",26.70%,348K,4.0K,873,28.20%,8.0K
League of Legends ,12/01/19,78.5M,-13.3M,-14.40%,106K,"-26,401",-20%,232K,3.1K,140,4.70%,6.4K
League of Legends ,11/01/19,91.8M,-29.3M,-24.20%,132K,"-37,436",-22.10%,1.74M,3.0K,-15,-0.50%,4.5K
League of Legends ,10/01/19,121M,+43.6M,56.20%,170K,"61,921",57.50%,1.10M,3.0K,225,8.20%,5.9K
League of Legends ,09/01/19,77.6M,-8.53M,-9.90%,108K,"-7,966",-6.90%,654K,2.7K,88,3.30%,4.5K
League of Legends ,08/01/19,86.1M,+17.9M,26.20%,116K,"24,003",26.20%,463K,2.7K,235,9.70%,5.3K
League of Legends ,07/01/19,68.2M,-20.9M,-23.50%,91.7K,"-32,105",-25.90%,275K,2.4K,-330,-12%,3.4K
League of Legends ,06/01/19,89.1M,-13.6M,-13.30%,124K,"-14,383",-10.40%,322K,2.8K,-95,-3.30%,3.9K
League of Legends ,05/01/19,103M,+10.3M,11.20%,138K,"9,795",7.60%,816K,2.8K,101,3.70%,4.1K
League of Legends ,04/01/19,92.4M,-15.9M,-14.70%,128K,"-17,402",-11.90%,548K,2.7K,106,4%,4.0K
League of Legends ,03/01/19,108M,+13.4M,14.10%,146K,"4,372",3.10%,377K,2.6K,-4,-0.20%,4.0K
League of Legends ,02/01/19,95.0M,-4.03M,-4.10%,141K,"8,271",6.20%,370K,2.6K,-372,-12.30%,4.5K
League of Legends ,01/01/19,99.1M,+27.0M,37.50%,133K,"36,312",37.50%,400K,3.0K,652,27.60%,6.1K
League of Legends ,12/01/18,72.0M,-12.4M,-14.70%,96.8K,"-20,466",-17.40%,344K,2.4K,-4,-0.20%,3.5K
League of Legends ,11/01/18,84.5M,-24.4M,-22.40%,117K,"-29,350",-20%,1.13M,2.4K,176,8%,5.0K
League of Legends ,10/01/18,109M,+32.4M,42.40%,147K,"40,318",37.90%,923K,2.2K,93,4.40%,3.4K
League of Legends ,09/01/18,76.5M,-4.75M,-5.80%,106K,"-2,928",-2.70%,424K,2.1K,117,5.90%,3.1K
League of Legends ,08/01/18,81.2M,+6.29M,8.40%,109K,"7,204",7.10%,934K,2.0K,144,7.80%,2.8K
League of Legends ,07/01/18,74.9M,+2.50M,3.50%,102K,"1,433",1.40%,232K,1.8K,-3,-0.20%,2.8K
League of Legends ,06/01/18,72.4M,-9.57M,-11.70%,101K,"-9,648",-8.70%,244K,1.8K,-96,-5%,3.3K
League of Legends ,05/01/18,82.0M,+7.89M,10.60%,110K,"7,111",6.90%,511K,1.9K,-90,-4.40%,2.8K
League of Legends ,04/01/18,74.1M,-14.7M,-16.50%,103K,"-16,189",-13.60%,486K,2.0K,-108,-5.10%,3.9K
League of Legends ,03/01/18,88.8M,+7.83M,9.70%,119K,"-1,368",-1.10%,364K,2.1K,-192,-8.20%,3.2K
League of Legends ,02/01/18,81.0M,-8.03M,-9%,121K,"1,079",0.90%,305K,2.3K,-57,-2.40%,3.5K
League of Legends ,01/01/18,89.0M,+19.4M,28%,120K,"26,117",27.90%,440K,2.4K,497,26.30%,4.8K
League of Legends ,12/01/17,69.6M,-13.3M,-16%,93.5K,"-21,646",-18.80%,325K,1.9K,22,1.20%,3.2K
League of Legends ,11/01/17,82.8M,-11.8M,-12.40%,115K,"-12,000",-9.40%,1.09M,1.9K,90,5.10%,2.9K
League of Legends ,10/01/17,94.6M,+20.2M,27.20%,127K,"23,869",23.10%,886K,1.8K,70,4.10%,2.8K
League of Legends ,09/01/17,74.4M,+2.53M,3.50%,103K,"6,556",6.80%,376K,1.7K,12,0.70%,2.6K
League of Legends ,08/01/17,71.8M,-12.7M,-15.10%,96.7K,"-17,043",-15%,350K,1.7K,-54,-3.10%,2.7K
League of Legends ,07/01/17,84.6M,277,-,114K,"-3,762",-3.20%,326K,1.7K,151,9.40%,2.5K
League of Legends ,06/01/17,84.6M,-2.02M,-2.30%,118K,-824,-0.70%,281K,1.6K,-62,-3.70%,2.4K
League of Legends ,05/01/17,86.6M,+4.13M,5%,118K,"3,203",2.80%,648K,1.7K,22,1.30%,2.5K
League of Legends ,04/01/17,82.5M,-8.31M,-9.20%,115K,"-6,890",-5.60%,488K,1.6K,40,2.50%,2.5K
League of Legends ,03/01/17,90.8M,-8.53M,-8.60%,122K,"-25,783",-17.40%,326K,1.6K,-201,-11.20%,2.5K
League of Legends ,02/01/17,99.3M,+208K,0.20%,148K,"14,149",10.60%,391K,1.8K,-40,-2.20%,2.8K
League of Legends ,01/01/17,99.1M,+18.1M,22.30%,134K,"24,336",22.30%,378K,1.8K,169,10.10%,2.9K
League of Legends ,12/01/16,81.0M,-,-,109K,-,-,334K,1.7K,-,-,2.5K
